time, mean, SD
617, -22.8864, 139.864
618, 19.5682, 180.751
619, -4.15909, 141.046
620, 16.3556, 191.386
621, -14.3409, 92.7617
622, -34.7727, 169.763
623, 21.8182, 144.701
624, -2.52273, 107.667
625, 14.2045, 200.991
626, -3.86364, 137.451
627, -8.90909, 109.072
628, 11.4545, 154.267
629, 13.4091, 128.54
630, -37.1333, 135.16
631, -16.7727, 106.283
632, 60.1591, 160.442
633, -5.43182, 96.1373
634, 5.5, 98.3793
635, 6.38636, 105.166
636, -24.9545, 98.895
637, -19.0909, 122.849
638, 23.5, 171.219
639, -0.0454545, 88.0372
640, -14.2667, 98.5058
641, 15.9545, 91.5451
642, -10.0227, 121.518
643, -1.15909, 118.764
644, -4.31818, 56.0044
645, -0.886364, 58.8605
646, 10.9318, 86.2492
647, -15.3864, 64.1345
648, 21.7727, 59.2279
649, 26.8864, 131.925
650, -36.9111, 92.7182
651, 1.90909, 86.4275
652, 25.5455, 85.619
653, -54.1364, 77.3644
654, 55.6136, 61.6195
655, -9, 92.0563
656, -49.6591, 101.068
657, -862.432, 3727.34
658, 2017.11, 6802.2
659, -827.295, 6350.39
660, -1726.98, 2421.98
661, 1824.89, 1824.02
662, -286.114, 1306.81
663, -288.773, 574.382
664, 606.682, 597.156
665, -480.591, 701.81
666, -144.091, 653.086
667, 310.773, 2218.5
668, 53.7727, 3383.76
669, -336.727, 1922
670, 80.3111, 1077.5
671, -35.7727, 1737.46
672, -91.0227, 1291.73
673, 505.568, 1198.57
674, -288.318, 950.634
675, 3.63636, 826.738
676, -52.6136, 484.205
677, 196.705, 628.468
678, 96.0227, 1113.52
679, -272.689, 1311.55
680, 231.977, 1162.5
681, -227.682, 878.225
682, 37.3409, 652.342
683, 244.341, 458.768
684, -242.841, 625.511
685, 60.9091, 539.754
686, -0.795455, 954.87
687, -5.93182, 492.655
688, -35.5227, 589.115
689, -3.93182, 805.391
690, -16.9556, 804.851
691, 126.114, 626.054
692, -86.1818, 762.776
693, -47.4545, 762.601
694, 23.4318, 609.9
695, -95.0909, 487.434
696, 166.727, 717.606
697, -22.1818, 540.716
698, -63.1364, 681.322
699, 103.568, 349.528
700, 16.8444, 537.465
701, -222.75, 840.186
702, 291.727, 717.413
703, -208, 521.019
704, 40.6364, 587.785
705, -23.7273, 555.208
706, 15.5909, 565.495
707, 15.3182, 387.735
708, 31.8636, 535.751
709, 73, 705.58
710, -86.9333, 386.618
711, -31.2727, 414.501
712, 135.659, 415.24
713, -66.1591, 435.163
714, -55.3636, 347.219
715, 38.6136, 443.253
716, -42.0227, 264.651
717, 10.75, 414.926
718, 39.5909, 390.14
719, 8.04545, 423.691
720, -30.3556, 476.005
721, -30.0227, 382.938
722, -67.6591, 299.161
723, 90.75, 444.674
724, -6.90909, 455.66
725, 35.0909, 294.79
726, -99, 290.457
727, 86.8182, 424.495
728, -88.6364, 362.13
729, -1.20455, 449.268
730, 91.0444, 343.527
731, -16.4545, 332.227
732, -30.6818, 283.27
733, -21.4773, 302.516
734, 10.6136, 456.764
735, 71.7955, 438.509
736, -32.1818, 366.229
737, -90.7955, 278.308
738, 46.5682, 335.563
739, 59.5682, 278.959
740, -49.6222, 389.274
741, 51.6364, 360.431
742, -31.6818, 242.029
743, -49.4773, 271.993
744, 58.1136, 295.365
745, -23.1364, 247.348
746, 51.8636, 221.731
747, -37.0682, 276.952
748, -31.0227, 187.985
749, 26.8864, 246.009
750, -4.6, 297.979
751, -18.25, 236.095
752, 55.8409, 281.413
753, -57.8409, 293.398
754, 38.5227, 250.392
755, 14.2045, 276.08
