time, sound
864, 5.04545
865, -53.4773
866, 63.5455
867, -53.9091
868, 40.7727
869, 89.0227
870, -101.711
871, -56.4318
872, 98.7955
873, -10.8636
874, -39.8864
875, 4.72727
876, 20.25
877, -22.7273
878, -8.40909
879, -49.3864
880, 70.5333
881, -77.2727
882, 74.0455
883, -71.9545
884, 40.0682
885, -29.3864
886, -21.0227
887, 67.1364
888, 55.5227
889, -77.9773
890, -8.51111
891, -29.6818
892, 102.636
893, -2.61364
894, -90.7273
895, 25.4318
896, 50.2273
897, -92.75
898, 86.8182
899, 10.6136
900, -75.4444
901, 65.8409
902, -50.9773
903, 33.3182
904, 2
905, -2.25
906, -13.6591
907, 1.61364
908, -4.29545
909, 65.75
910, -96.0444
911, 48.7727
912, -2.65909
913, -7.45455
914, 40.8864
915, -42.9545
916, -37.9318
917, 59.8636
918, -0.0454545
919, -8.09091
920, 49.3556
921, -72.9318
922, 16.8636
923, -6.15909
924, -4.13636
925, 30.9091
926, -40.5227
927, 30.0682
928, -32.8182
929, 15.0227
930, 7.95556
931, -20.1591
932, -12.4318
933, 36.9091
934, 22.7273
935, -36.8636
936, -4.45455
937, -5.70455
938, 2.29545
939, 19.2045
940, 10.9778
941, 28.75
942, -56.25
943, 30.8182
944, -16.6364
945, 19.7045
946, -23.6591
947, -22.1136
948, 9.36364
949, -21.4545
950, 29.3333
951, 20.3636
952, -15.4545
953, -12.9318
954, 6.36364
955, -13.0682
956, 10.6364
957, 20.0227
958, 3.45455
959, -25.0227
960, -4.88889
961, -4.5
962, -1077.05
963, 2237.68
964, -1123.68
965, -1459.61
966, 1797.91
967, -210.591
968, -237.705
969, 422.614
970, -530.378
971, 85.2727
972, 432.977
973, -254.205
974, -386.091
975, 118.591
976, 14.7727
977, 55.4091
978, 394.818
979, -353.136
980, 68.6222
981, -72.3864
982, 78.4545
983, 216.341
984, -279
985, 107.182
986, -205.455
987, 132.682
988, 234.591
989, -205.295
990, -13.7111
991, -4.90909
992, 35.0682
993, 21.8182
994, -19.0682
995, -101.114
996, 138.841
997, -46.8864
998, -33.5455
999, 28.5455
1000, -102.022
1001, 167.159
1002, -112.523
1003, 6.5
1004, 98.7727
1005, -62.2955
1006, -88.8864
1007, 192.75
1008, -182.659
1009, 96.1136
1010, -26.4667
1011, -7.20455
1012, -29.3636
1013, -34.9545
1014, 138.795
1015, -57.0455
1016, -8.20455
1017, 86.75
1018, -54.1136
1019, -68.5909
1020, 73.3556
1021, -33.75
1022, -48.5455
1023, 41.7273
1024, 17.3182
1025, 46.7273
1026, -70.3864
1027, -26.1136
1028, 22.5
1029, -9.75
1030, 48.1111
1031, -64.9318
1032, 7.47727
1033, 23.1818
1034, -53.8864
1035, 81.4545
1036, -19.6818
1037, -38.7955
1038, 14.1364
1039, -19.7955
1040, 71.1778
1041, 30.4773
1042, -133.75
1043, 74.7955
1044, 2.97727
1045, -45.3636
1046, 70.3182
1047, -6.52273
1048, -70.4091
1049, 72.75
1050, -45.5333
1051, 29.9318
1052, 2.34091
1053, -28.3636
1054, 4.11364
1055, 23.4545
1056, -13.7273
1057, 24.0227
1058, -60.3636
1059, 46.0682
1060, 10.4444
1061, -22.9091
1062, 40.9773
1063, -42.75
1064, -34.7955
1065, 52.4545
1066, 6.47727
1067, -15.3409
1068, 40.1818
1069, -43.1818
1070, 6.13333
1071, 1.70455
1072, 7.40909
1073, 10.5455
1074, -63.7727
1075, 59.4091
1076, -35.2727
1077, 31.5909
1078, -29.3409
1079, -2.22727
1080, -16.7778
1081, 44.7045
1082, 19.4318
1083, -41.6591
1084, -9.72727
1085, 3.13636
1086, 23.2045
1087, 13.3182
1088, -18.9318
1089, 28.0682
1090, -35.6222
1091, 31.3864
1092, -19.1364
1093, 12.3182
1094, -24.8409
1095, -19.5455
1096, 18.7045
1097, 3.40909
1098, -7.06818
1099, 28.2
1100, -30.5455
1101, -49.7955
1102, 332.114
1103, 303.705
1104, -1256.52
1105, 514.75
1106, 680.023
1107, -589.977
1108, 100.477
1109, 107.333
1110, -403.273
1111, 348.273
1112, -6.79545
1113, -41.5455
1114, -201.841
1115, 345.5
1116, -340.25
1117, 346.591
1118, -81.4091
1119, -314.844
1120, 163.068
1121, 208.795
1122, -197.886
1123, 12.5682
1124, 33.0909
1125, -50.1364
1126, -46.2045
1127, 97.3182
1128, -55.8182
1129, -8.40909
1130, 14.0667
1131, 84.4091
1132, -138.591
1133, -20.5455
1134, 154.364
1135, -21.8409
1136, 33.2273
1137, -115.568
1138, 107.523
1139, -102.636
1140, -47.6444
1141, 179.068
1142, -260.705
1143, 250.477
1144, -66.3864
1145, -97.9318
1146, 161.841
1147, -48.6818
1148, -109.818
1149, 70.8182
1150, 1.73333
1151, 35.5227
1152, -14.4545
1153, -26.6136
1154, -36.9091
1155, 50.3636
1156, -7.25
1157, 50.25
1158, -22.1591
1159, -116.341
1160, 120.6
1161, -65.5227
1162, 54
1163, 12.4545
1164, -27.5
1165, -39.4091
1166, 23.8636
1167, 23.5
1168, 69.5909
1169, -75.5
1170, 29.0444
1171, 12.0682
1172, -59.9773
1173, 88.7273
1174, -56.3636
1175, 19
1176, -47.1136
1177, 10.8182
1178, 58.25
1179, -29.1364
1180, -51.4444
1181, 11.7955
1182, 27.4091
1183, 21.0455
1184, 2.04545
1185, -47.25
1186, 33.7273
1187, -31.7955
1188, 10.9318
1189, -1.15909
1190, -3.8
1191, 43.1364
1192, -36.1591
1193, 8.04545
1194, -34.0682
1195, 48.3182
1196, -19.2955
1197, -25.5909
1198, 26.5909
1199, 30.7045
1200, -40.0667
1201, -13.2955
1202, 23.0909
1203, 0.522727
1204, -23.4773
1205, 29.4773
1206, -2.79545
1207, -30.5909
1208, 1.81818
1209, 29.0455
1210, -0.555556
1211, -12.4091
1212, 8
1213, -12.3409
1214, 13.4091
1215, 3.95455
1216, 13.3636
1217, -6.72727
1218, -12.4545
1219, -3.54545
1220, 30.8444
1221, -27.0227
1222, -11.6136
1223, 22.0227
1224, -19.4545
1225, 33.8409
1226, -25.3636
1227, -16.2045
1228, 13.1818
1229, -4.97727
1230, 2.35556
1231, -7.40909
1232, -6.70455
1233, -978.25
1234, 2238.45
1235, -1237.52
1236, -1122.5
1237, 1491.39
1238, -288.886
1239, -125
1240, 402.689
1241, -525.727
1242, 95.5
1243, 446.932
1244, -261.568
1245, -395.841
1246, 169.591
1247, 2.13636
1248, -5.40909
1249, 340.568
1250, -291.689
1251, 100.136
1252, -60.7273
1253, 29.0227
1254, 69.3864
1255, -143.159
1256, 99.7955
1257, -182.409
1258, 154.364
1259, 186.182
1260, -226.511
1261, -13.75
1262, 58.1136
1263, -5.31818
1264, -6.11364
1265, -16.2045
1266, -13.5227
1267, 83.1136
1268, -33.1136
1269, -19.1818
1270, -22.1556
1271, -53.2273
1272, 158.705
1273, -106.955
1274, 58.5909
1275, -6.90909
1276, -66.7045
1277, -7.90909
1278, 79.6364
1279, -56.0227
1280, 53.4667
1281, -54.1364
1282, 13.1136
1283, 14.4318
1284, -126.364
1285, 172.023
1286, -91.8182
1287, 23.1591
1288, 84.0682
1289, -62.5455
1290, -50.2222
1291, 59.2045
1292, -40.6591
1293, -12.7955
1294, 44.4773
1295, 0.454545
1296, 45.3864
1297, -62.8409
1298, -0.522727
1299, -5.45455
1300, 7.75556
1301, 23.5
1302, -34.8864
1303, -46.9091
1304, 60.75
1305, -40.4545
1306, 27.4545
1307, 2.59091
1308, -11.9773
1309, 29.7727
1310, -49.9333
1311, 63.5909
1312, 35.9091
1313, -95.5455
1314, 51.4318
1315, -26.8409
1316, -8.36364
1317, 59.4318
1318, 11.3636
1319, -86.6364
1320, 57.7111
1321, -29.2955
1322, -1.02273
1323, 13.2273
1324, -2.70455
1325, 11.7273
1326, 13.1818
1327, -8.86364
1328, -8.25
1329, -34.3864
1330, 17.8
1331, 29.4545
1332, -19.0682
1333, 0.909091
1334, 15.1364
1335, -16.8636
1336, 18
1337, -20.6136
1338, 12
1339, 10.25
1340, -17.0222
1341, 3.15909
1342, -5.79545
1343, 32.0682
1344, -7.61364
1345, -30.9091
1346, 25.9091
1347, -36.7045
1348, 16.8182
1349, 7.08889
1350, -5.81818
1351, -19.9773
1352, 28.8636
1353, 24.3636
1354, -45.3409
1355, -14.7045
1356, -125.909
1357, -450.227
1358, 1795.09
1359, -1499.47
1360, -357.114
1361, 1115.61
1362, -422.023
1363, 2.29545
1364, 224.636
1365, -524.318
1366, 270.023
1367, 217.909
1368, -73.4091
1369, -400.422
1370, 234.955
1371, 4.52273
1372, 81.25
1373, 59.0227
1374, -254.364
1375, 157.932
1376, 22.4545
1377, -13.0227
1378, 43.8409
1379, -51.2727
1380, -88.6667
1381, -62.25
1382, 154.841
1383, 75.75
1384, -126.909
1385, -113.977
1386, 167.068
1387, -86.4091
1388, 55.7727
1389, 19.9545
1390, 10.7111
1391, 63.0227
1392, -88
1393, 22.7955
1394, -16.8409
1395, -103.295
1396, 176.205
1397, -95.8182
1398, 48.5227
1399, -49.5909
1400, -109.156
1401, 115.705
1402, 4.54545
1403, -3.84091
1404, 18.75
1405, 14.25
1406, -15.6818
1407, 32.4318
1408, -159.523
1409, 117.364
1410, -51.2
1411, 18.0455
1412, 56.3636
1413, -35.4318
1414, -58.9318
1415, 73.7727
1416, -24.7045
1417, -34.6364
1418, 52.6818
1419, 17.5455
1420, -21.6222
1421, 8
1422, 31.5227
1423, -35.5682
1424, 12.0909
1425, 24.7727
1426, -42.0227
1427, -44.8864
1428, 95.9091
1429, -88.5682
1430, 37.7556
1431, -39.1818
1432, 17.7273
1433, 67.5682
1434, -84.9318
1435, 31.8636
1436, 42.7045
1437, -31.8182
1438, 25.75
1439, -46.8864
1440, 15.3111
1441, 18.6818
1442, 28.2045
1443, -61.9545
1444, 38.5455
1445, -17.1364
1446, 3.34091
1447, -13.8636
1448, -15.0455
1449, 42.6364
1450, 3.64444
1451, 5.61364
1452, -68.1591
1453, 43.7273
1454, -3.72727
1455, 11.3636
1456, -13.3182
1457, -1.93182
1458, 3.72727
1459, -3.61364
1460, 38.0222
1461, -51.6818
1462, 9.02273
1463, -1.13636
1464, 21.7955
1465, -16.25
1466, 10.9545
1467, 27.5909
1468, -55.8864
1469, 27.3182
1470, 20.7111
1471, -58.8409
1472, 27.4773
1473, -66.25
1474, -556.205
1475, 1845.5
1476, -1348.2
1477, -707.932
1478, 1209.52
1479, -339.841
1480, -51.8222
1481, 299.705
1482, -490.591
1483, 204.659
1484, 236.841
1485, -98.2273
1486, -356.523
1487, 238.295
1488, -43.9545
1489, -48.75
1490, 255.622
1491, -249.545
1492, 133.227
1493, -1.38636
1494, -61.4091
1495, 71.1591
1496, -60.5227
1497, -46.8409
1498, -34.3182
1499, 138.455
1500, 53.4667
1501, -133.75
1502, -30.9091
1503, 61.0909
1504, 3.40909
1505, 43
1506, -69.1136
1507, 21.25
1508, 65.6818
1509, -72.2727
1510, 35.9778
1511, -3.56818
1512, -54.5909
1513, 80.5909
1514, -55.2955
1515, 42.5909
1516, -73.2273
1517, -37.7045
1518, 89.1591
1519, -25.5
1520, 16.3333
1521, 31.7273
1522, -25.7273
1523, -40.1818
1524, 24.7045
1525, -143.045
1526, 171.955
1527, -43.1818
1528, -2.25
1529, 53.5909
1530, -46.6667
1531, -35.9318
1532, 57.2045
1533, -18.7727
1534, -37.3409
1535, 51.25
1536, -35.25
1537, 49.8864
1538, 3.04545
1539, -18.8182
1540, -28.8667
1541, 18.5227
1542, 9.81818
1543, -0.454545
1544, -86.5455
1545, 96.75
1546, -59.2955
1547, 36.6818
1548, -8.88636
1549, -9
1550, 29.7333
1551, -56.3864
1552, 47.4773
1553, 65.6136
1554, -68.3409
1555, 17.0909
1556, -58.3182
1557, 32.5455
1558, 8.04545
1559, 57.2045
1560, -56.3333
1561, 26
1562, 2.56818
1563, -12.1591
1564, -27.2955
1565, -4.59091
1566, 39.4773
1567, 15.4773
1568, -26.0455
1569, -27.2955
1570, 27.7111
1571, -18.8864
1572, 15.7727
1573, -11.2273
1574, -8.38636
1575, 24.0682
1576, -9.09091
1577, 17.25
1578, -23.4545
1579, -2.15909
1580, 12.0889
1581, 8.90909
1582, -10
1583, -4.02273
1584, 97.7727
1585, -231.432
1586, 889.318
1587, -1067.2
1588, -88.9773
1589, 786.045
1590, -437.067
1591, 96.8182
1592, 59.9318
1593, -393.659
1594, 381.659
1595, -105.523
1596, 156.523
1597, -330.705
1598, 267.023
1599, -163.477
1600, 153.244
1601, 6.68182
1602, -232.136
1603, 132.273
1604, 113.523
1605, -186.159
1606, -7.34091
1607, 81.5909
1608, -33.2045
1609, -74.8864
1610, 121.711
1611, 13.9091
1612, -56.3864
1613, -95.0682
1614, 94.75
1615, -30.25
1616, 58
1617, 64.2273
1618, -50.9773
1619, 72.75
1620, -122.444
1621, 59.1364
1622, -22.2955
1623, -30.2727
1624, 84.7727
1625, -130.727
1626, 111.886
1627, -63.5682
1628, -28.5909
1629, 93.9318
1630, -4.22222
1631, -72.2727
1632, 37.7955
1633, 5.52273
1634, -15.5
1635, 39.6591
1636, -73.2727
1637, 57.7727
1638, 8.5
1639, -35.0682
1640, -3.22222
1641, -3.79545
1642, -27.3409
1643, 87.6364
1644, -77.3409
1645, 8.68182
1646, 24.2955
1647, 24.2955
1648, -31.6364
1649, 30.9773
1650, 12.8444
1651, -4.88636
1652, -19.3864
1653, 14.3864
1654, -14.8864
1655, -40.0227
1656, 73.1591
1657, -49.5909
1658, 30
1659, -53.9318
1660, 16.1778
